cve_id,description,cwe,vendors,products,cvss_base_score,cvss_exploitability_score,cvss_impact_score,attackVector,attackComplexity,privilegesRequired,userInteraction,scope,confidentialityImpact,integrityImpact,availabilityImpact,published,modified,is_exploited
CVE-2019-206825,Vulnerability in product allows CWE-119 with LOCAL access and HIGH attack complexity. Requires NONE privileges and user interaction=NONE. CVSS base score 6.6. Exploitation in the wild has not been confirmed.,CWE-119,Adobe;Microsoft,Office,6.6264418136660765,5.915552946786565,7.4105173410155984,LOCAL,HIGH,NONE,NONE,UNCHANGED,LOW,HIGH,LOW,2019-11-20T22:03Z,2019-06-14T19:46Z,0
CVE-2018-203736,Vulnerability in product allows CWE-787 with ADJACENT access and LOW attack complexity. Requires HIGH privileges and user interaction=NONE. CVSS base score 5.8. Exploitation in the wild has not been confirmed.,CWE-787,Adobe;Oracle,Android,5.789691166521255,7.040368156399186,6.26068146766946,ADJACENT,LOW,HIGH,NONE,UNCHANGED,LOW,HIGH,LOW,2018-08-05T14:16Z,2018-11-04T11:37Z,0
CVE-2020-204993,Vulnerability in product allows CWE-79 with LOCAL access and LOW attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 5.6. Exploitation in the wild has not been confirmed.,CWE-79,Linux,Chrome,5.573114456795912,4.754527670539883,6.399908363878876,LOCAL,LOW,LOW,REQUIRED,UNCHANGED,LOW,HIGH,HIGH,2020-06-16T14:51Z,2020-01-02T15:47Z,0
CVE-2020-203811,Vulnerability in product allows CWE-79 with LOCAL access and HIGH attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 5.2. Exploitation in the wild has not been confirmed.,CWE-79,Linux,CMS;Safari;iOS,5.2245695160606305,4.700295009186535,4.405655567749567,LOCAL,HIGH,LOW,NONE,UNCHANGED,NONE,LOW,LOW,2020-11-13T17:45Z,2020-01-29T19:40Z,0
CVE-2020-205258,Vulnerability in product allows CWE-89 with LOCAL access and HIGH attack complexity. Requires NONE privileges and user interaction=NONE. CVSS base score 6.2. Exploitation in the wild has not been confirmed.,CWE-89,Google,Android;Chrome;Web Browser,6.187840486446341,6.997655357792634,5.936565324246281,LOCAL,HIGH,NONE,NONE,CHANGED,LOW,HIGH,NONE,2020-07-28T17:45Z,2020-07-02T15:50Z,0
CVE-2019-208743,Vulnerability in product allows CWE-89 with LOCAL access and LOW attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 0.4. Exploitation in the wild has not been confirmed.,CWE-89,Google;Linux,iOS,0.3724228616797447,0.0,0.000417476241079795,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,LOW,2019-04-02T13:31Z,2019-09-16T04:23Z,0
CVE-2021-203391,Vulnerability in product allows CWE-287 with NETWORK access and LOW attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 6.9. Exploitation in the wild has not been confirmed.,CWE-287,Google;Microsoft,Safari,6.897707757754703,5.324748715365433,5.167628961347433,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,HIGH,LOW,2021-11-30T16:35Z,2021-03-24T11:44Z,0
CVE-2022-205479,Vulnerability in product allows CWE-200 with ADJACENT access and HIGH attack complexity. Requires NONE privileges and user interaction=NONE. CVSS base score 5.1. Exploitation in the wild has not been confirmed.,CWE-200,Google,Database Server;VPN Appliance,5.125054524105188,4.391008837917516,4.266739726187623,ADJACENT,HIGH,NONE,NONE,UNCHANGED,NONE,LOW,NONE,2022-07-21T04:05Z,2022-04-27T08:18Z,0
CVE-2019-200959,Vulnerability in product allows CWE-787 with NETWORK access and LOW attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 2.7. Exploitation in the wild has not been confirmed.,CWE-787,Cisco,Android;Chrome;Linux Kernel,2.7016288366879584,0.5263037103613257,3.176049657817672,NETWORK,LOW,LOW,NONE,UNCHANGED,NONE,LOW,LOW,2019-01-30T19:57Z,2019-01-21T03:12Z,0
CVE-2020-204082,Vulnerability in product allows CWE-287 with NETWORK access and HIGH attack complexity. Requires HIGH privileges and user interaction=NONE. CVSS base score 8.7. Exploitation in the wild has not been confirmed.,CWE-287,IBM;SAP,iOS,8.744853958890435,6.567687811961334,7.166034448985039,NETWORK,HIGH,HIGH,NONE,UNCHANGED,LOW,LOW,LOW,2020-08-05T04:31Z,2020-06-06T01:21Z,0
CVE-2019-206957,Vulnerability in product allows CWE-89 with LOCAL access and LOW attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 6.6. Exploitation in the wild has not been confirmed.,CWE-89,Apple;Cisco,CMS;Office,6.60106329675424,2.699697865687482,5.534334989290462,LOCAL,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,LOW,2019-10-29T15:45Z,2019-11-09T16:38Z,0
CVE-2018-203172,Vulnerability in product allows NVD-CWE-noinfo with PHYSICAL access and HIGH attack complexity. Requires NONE privileges and user interaction=NONE. CVSS base score 6.1. Exploitation in the wild has not been confirmed.,NVD-CWE-noinfo,SAP,Android;Java SE,6.116563747886557,5.2187855039417395,4.908365670152506,PHYSICAL,HIGH,NONE,NONE,UNCHANGED,NONE,NONE,LOW,2018-08-09T18:37Z,2018-04-01T01:19Z,0
CVE-2021-208179,Vulnerability in product allows NVD-CWE-noinfo with LOCAL access and HIGH attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 4.5. Exploitation in the wild has not been confirmed.,NVD-CWE-noinfo,Apple,Office;Safari,4.473292584611947,3.1076386096404187,2.7052968864698563,LOCAL,HIGH,LOW,REQUIRED,UNCHANGED,NONE,HIGH,NONE,2021-10-03T12:06Z,2021-09-18T01:24Z,0
CVE-2021-202857,Vulnerability in product allows CWE-476 with ADJACENT access and LOW attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 7.6. Exploitation in the wild has not been confirmed.,CWE-476,Google,Database Server;Exchange Server;Windows,7.628256131185724,6.47165167942489,9.339158270492025,ADJACENT,LOW,NONE,REQUIRED,UNCHANGED,HIGH,LOW,LOW,2021-05-19T00:10Z,2021-02-02T07:10Z,0
CVE-2022-207783,Vulnerability in product allows CWE-787 with PHYSICAL access and HIGH attack complexity. Requires HIGH privileges and user interaction=REQUIRED. CVSS base score 3.6. Exploitation in the wild has not been confirmed.,CWE-787,Cisco;VMware,Acrobat Reader;Linux Kernel;iOS,3.5871386726252075,2.60915847846929,3.4970071017894924,PHYSICAL,HIGH,HIGH,REQUIRED,UNCHANGED,LOW,NONE,NONE,2022-08-17T06:02Z,2022-06-13T12:37Z,0
CVE-2018-200754,Vulnerability in product allows CWE-22 with ADJACENT access and LOW attack complexity. Requires HIGH privileges and user interaction=REQUIRED. CVSS base score 5.8. Exploitation in the wild has not been confirmed.,CWE-22,Apple;Linux,Office;Web Browser,5.795368906839104,4.6393484380087635,4.638008929066666,ADJACENT,LOW,HIGH,REQUIRED,UNCHANGED,NONE,HIGH,HIGH,2018-03-23T08:01Z,2018-04-26T12:53Z,0
CVE-2019-100045,Vulnerability in product allows CWE-352 with ADJACENT access and LOW attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 7.8. This issue has been observed exploited in the wild.,CWE-352,Linux;VMware,Java SE,7.775226272206908,7.023964493111068,7.647259322215938,ADJACENT,LOW,LOW,REQUIRED,UNCHANGED,LOW,HIGH,LOW,2019-08-02T18:38Z,2019-06-10T20:28Z,1
CVE-2023-209272,Vulnerability in product allows CWE-287 with ADJACENT access and LOW attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 8.1. Exploitation in the wild has not been confirmed.,CWE-287,Adobe;VMware,CMS;VPN Appliance;Windows,8.10148024348675,7.253944388194219,8.213809999696378,ADJACENT,LOW,LOW,NONE,UNCHANGED,LOW,LOW,LOW,2023-11-27T05:30Z,2023-04-27T17:21Z,0
CVE-2021-200148,Vulnerability in product allows CWE-200 with NETWORK access and HIGH attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 2.3. Exploitation in the wild has not been confirmed.,CWE-200,Cisco;Linux,Android;Linux Kernel;Windows,2.287456202108832,0.3974691695419983,1.74814318980608,NETWORK,HIGH,LOW,REQUIRED,CHANGED,NONE,LOW,LOW,2021-03-21T23:06Z,2021-10-23T05:47Z,0
CVE-2018-207317,Vulnerability in product allows CWE-287 with ADJACENT access and HIGH attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 3.4. Exploitation in the wild has not been confirmed.,CWE-287,Apple;Oracle,Android;CMS;Office,3.3783173507713307,3.2549804138462033,2.990942611031385,ADJACENT,HIGH,LOW,NONE,UNCHANGED,LOW,LOW,LOW,2018-08-13T20:41Z,2018-06-10T14:11Z,0
CVE-2022-203641,Vulnerability in product allows CWE-287 with NETWORK access and HIGH attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 7.9. Exploitation in the wild has not been confirmed.,CWE-287,SAP,Acrobat Reader;Android;Web Browser,7.905734975569901,4.866628611107531,8.103811052086652,NETWORK,HIGH,LOW,NONE,CHANGED,LOW,HIGH,LOW,2022-05-10T03:18Z,2022-03-09T05:26Z,0
CVE-2019-205028,Vulnerability in product allows CWE-787 with NETWORK access and HIGH attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 7.8. Exploitation in the wild has not been confirmed.,CWE-787,Oracle,VPN Appliance;iOS,7.800757061757449,6.526692011294682,7.043024047029776,NETWORK,HIGH,LOW,REQUIRED,UNCHANGED,NONE,LOW,LOW,2019-12-25T07:10Z,2019-08-04T21:29Z,0
CVE-2020-204057,Vulnerability in product allows CWE-200 with PHYSICAL access and HIGH attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 5.2. Exploitation in the wild has not been confirmed.,CWE-200,Linux;Microsoft,Exchange Server,5.183497917602509,5.536060497536277,2.2461188033723634,PHYSICAL,HIGH,NONE,REQUIRED,UNCHANGED,NONE,LOW,LOW,2020-02-08T06:26Z,2020-12-10T22:34Z,0
CVE-2020-203638,Vulnerability in product allows CWE-787 with LOCAL access and HIGH attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 5.6. Exploitation in the wild has not been confirmed.,CWE-787,Apple;Oracle,Database Server;Linux Kernel;Web Browser,5.64607440332839,3.8716178077025116,4.048403478436635,LOCAL,HIGH,NONE,REQUIRED,UNCHANGED,LOW,LOW,NONE,2020-12-22T05:34Z,2020-06-03T08:34Z,0
CVE-2018-202860,Vulnerability in product allows CWE-79 with ADJACENT access and HIGH attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 5.3. Exploitation in the wild has not been confirmed.,CWE-79,Apple;Microsoft,Android;CMS;Safari,5.332180096877617,3.4185489091170345,5.365507821199248,ADJACENT,HIGH,LOW,REQUIRED,UNCHANGED,NONE,LOW,LOW,2018-09-26T13:06Z,2018-12-28T00:24Z,0
CVE-2021-206781,Vulnerability in product allows CWE-119 with NETWORK access and LOW attack complexity. Requires NONE privileges and user interaction=NONE. CVSS base score 6.4. Exploitation in the wild has not been confirmed.,CWE-119,Apple;IBM,Linux Kernel;VPN Appliance,6.357150823967302,6.374294145254957,6.700551398251605,NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,NONE,NONE,2021-07-02T10:39Z,2021-06-10T16:01Z,0
CVE-2018-204949,Vulnerability in product allows CWE-476 with ADJACENT access and LOW attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 0.2. Exploitation in the wild has not been confirmed.,CWE-476,VMware,Database Server;Office,0.20585237212760532,0.0,0.0,ADJACENT,LOW,LOW,NONE,UNCHANGED,LOW,LOW,LOW,2018-06-12T15:10Z,2018-02-28T12:08Z,0
CVE-2018-206475,Vulnerability in product allows CWE-22 with LOCAL access and LOW attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 5.1. Exploitation in the wild has not been confirmed.,CWE-22,Microsoft;VMware,Office,5.106425649541482,3.386170407982235,6.7577043392044285,LOCAL,LOW,LOW,NONE,CHANGED,LOW,LOW,LOW,2018-07-24T00:49Z,2018-10-04T09:30Z,0
CVE-2018-205238,Vulnerability in product allows CWE-119 with NETWORK access and HIGH attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 4.6. Exploitation in the wild has not been confirmed.,CWE-119,IBM;VMware,Exchange Server;Java SE,4.56969991579889,4.629619966485713,3.064566664131177,NETWORK,HIGH,LOW,NONE,UNCHANGED,NONE,NONE,LOW,2018-02-11T11:10Z,2018-07-23T15:58Z,0
CVE-2021-207491,Vulnerability in product allows CWE-287 with ADJACENT access and HIGH attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 3.6. Exploitation in the wild has not been confirmed.,CWE-287,Linux;VMware,Acrobat Reader;Database Server;Exchange Server,3.5748864636946864,3.4449561722717754,2.0813317729529452,ADJACENT,HIGH,LOW,NONE,UNCHANGED,LOW,NONE,LOW,2021-11-17T17:18Z,2021-12-16T20:12Z,0
CVE-2018-204874,Vulnerability in product allows CWE-200 with NETWORK access and LOW attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 7.2. Exploitation in the wild has not been confirmed.,CWE-200,Adobe;Apple,Office,7.21442655794378,7.674492381297339,6.149173397550958,NETWORK,LOW,LOW,REQUIRED,UNCHANGED,NONE,LOW,HIGH,2018-09-23T11:09Z,2018-05-21T05:40Z,0
CVE-2021-203014,Vulnerability in product allows CWE-200 with NETWORK access and LOW attack complexity. Requires NONE privileges and user interaction=NONE. CVSS base score 6.6. Exploitation in the wild has not been confirmed.,CWE-200,Google;IBM,Exchange Server,6.608174682701231,7.042673448236021,4.195953445308956,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,NONE,2021-12-11T09:49Z,2021-03-18T00:28Z,0
CVE-2018-206901,Vulnerability in product allows CWE-22 with NETWORK access and HIGH attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 3.5. Exploitation in the wild has not been confirmed.,CWE-22,Google;Microsoft,Acrobat Reader;Chrome;Exchange Server,3.4610146515118636,3.108950503120134,1.5835131063652483,NETWORK,HIGH,LOW,NONE,CHANGED,LOW,NONE,HIGH,2018-04-21T11:28Z,2018-12-06T07:02Z,0
CVE-2018-206453,Vulnerability in product allows CWE-119 with LOCAL access and LOW attack complexity. Requires HIGH privileges and user interaction=NONE. CVSS base score 7.4. Exploitation in the wild has not been confirmed.,CWE-119,Cisco,Java SE,7.387228558028923,6.285806522730891,6.040863618782069,LOCAL,LOW,HIGH,NONE,CHANGED,LOW,NONE,NONE,2018-08-29T11:54Z,2018-12-06T07:04Z,0
CVE-2020-206767,Vulnerability in product allows CWE-20 with NETWORK access and HIGH attack complexity. Requires HIGH privileges and user interaction=NONE. CVSS base score 4.3. Exploitation in the wild has not been confirmed.,CWE-20,Cisco,Database Server,4.277521739716297,3.6639528081506163,4.581437399232467,NETWORK,HIGH,HIGH,NONE,CHANGED,LOW,LOW,HIGH,2020-04-07T15:00Z,2020-03-03T10:10Z,0
CVE-2022-207419,Vulnerability in product allows CWE-20 with NETWORK access and LOW attack complexity. Requires HIGH privileges and user interaction=NONE. CVSS base score 3.4. Exploitation in the wild has not been confirmed.,CWE-20,SAP,Android;Java SE,3.372818750254112,4.446502953228556,3.8355354048563344,NETWORK,LOW,HIGH,NONE,UNCHANGED,NONE,HIGH,NONE,2022-10-27T20:03Z,2022-12-19T08:52Z,0
CVE-2021-209038,Vulnerability in product allows CWE-22 with LOCAL access and HIGH attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 5.2. Exploitation in the wild has not been confirmed.,CWE-22,Adobe,iOS,5.16269745409294,2.2714607539651324,5.138097952702147,LOCAL,HIGH,NONE,REQUIRED,CHANGED,LOW,LOW,LOW,2021-02-05T04:52Z,2021-12-22T13:13Z,0
CVE-2022-208455,Vulnerability in product allows CWE-352 with LOCAL access and LOW attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 3.7. Exploitation in the wild has not been confirmed.,CWE-352,Apple;Oracle,Chrome;Office,3.7248012446360486,2.4860733356644342,3.9284877179670072,LOCAL,LOW,LOW,REQUIRED,UNCHANGED,LOW,NONE,NONE,2022-04-30T18:07Z,2022-09-27T04:11Z,0
CVE-2018-200064,Vulnerability in product allows NVD-CWE-noinfo with ADJACENT access and HIGH attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 3.7. Exploitation in the wild has not been confirmed.,NVD-CWE-noinfo,Adobe;Apple,Linux Kernel;Office,3.651468635856916,3.9290066532150463,3.283212161568888,ADJACENT,HIGH,LOW,NONE,UNCHANGED,NONE,NONE,NONE,2018-11-06T08:20Z,2018-02-19T12:23Z,0
CVE-2018-201719,Vulnerability in product allows CWE-200 with LOCAL access and HIGH attack complexity. Requires HIGH privileges and user interaction=REQUIRED. CVSS base score 3.8. Exploitation in the wild has not been confirmed.,CWE-200,Linux,VPN Appliance;Web Browser;iOS,3.7505586100703336,3.2812760614274983,2.6677491993529623,LOCAL,HIGH,HIGH,REQUIRED,UNCHANGED,NONE,NONE,LOW,2018-01-08T18:13Z,2018-09-28T01:47Z,0
CVE-2023-202942,Vulnerability in product allows CWE-287 with LOCAL access and LOW attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 9.0. Exploitation in the wild has not been confirmed.,CWE-287,Adobe,Exchange Server;Web Browser;Windows,8.975670585115315,9.25806833102807,7.23039634263356,LOCAL,LOW,LOW,REQUIRED,UNCHANGED,NONE,NONE,NONE,2023-07-29T08:26Z,2023-07-21T20:43Z,0
CVE-2018-203077,Vulnerability in product allows CWE-22 with NETWORK access and HIGH attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 3.6. Exploitation in the wild has not been confirmed.,CWE-22,Apple;Linux,Android;Office;Web Browser,3.5975645757475965,1.8690752649234337,2.3510686872937563,NETWORK,HIGH,NONE,REQUIRED,UNCHANGED,LOW,HIGH,HIGH,2018-04-30T10:57Z,2018-04-19T04:23Z,0
CVE-2023-208999,Vulnerability in product allows CWE-22 with LOCAL access and LOW attack complexity. Requires HIGH privileges and user interaction=REQUIRED. CVSS base score 8.0. Exploitation in the wild has not been confirmed.,CWE-22,Cisco;Google,Linux Kernel;Web Browser;Windows,7.979931854908632,5.4557981469328265,9.307510820358967,LOCAL,LOW,HIGH,REQUIRED,UNCHANGED,HIGH,NONE,LOW,2023-01-06T10:46Z,2023-05-26T06:50Z,0
CVE-2022-202491,Vulnerability in product allows NVD-CWE-noinfo with LOCAL access and LOW attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 6.4. Exploitation in the wild has not been confirmed.,NVD-CWE-noinfo,Microsoft;VMware,Acrobat Reader;Safari;Windows,6.380434275020713,6.110073435131956,6.956082136797463,LOCAL,LOW,LOW,REQUIRED,CHANGED,LOW,NONE,LOW,2022-07-29T10:55Z,2022-04-07T16:21Z,0
CVE-2022-200075,Vulnerability in product allows CWE-79 with PHYSICAL access and HIGH attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 7.5. Exploitation in the wild has not been confirmed.,CWE-79,Google,Java SE;Office;Windows,7.519947299078112,5.945460359932996,6.639170364433708,PHYSICAL,HIGH,NONE,REQUIRED,UNCHANGED,LOW,HIGH,HIGH,2022-04-06T21:38Z,2022-02-18T03:16Z,0
CVE-2023-208076,Vulnerability in product allows CWE-119 with PHYSICAL access and HIGH attack complexity. Requires HIGH privileges and user interaction=NONE. CVSS base score 4.5. Exploitation in the wild has not been confirmed.,CWE-119,Google;Linux,Android;VPN Appliance,4.513466753737784,3.099135399743011,4.207092685011987,PHYSICAL,HIGH,HIGH,NONE,CHANGED,LOW,HIGH,LOW,2023-06-20T16:42Z,2023-05-03T10:25Z,0
CVE-2020-204284,Vulnerability in product allows CWE-200 with NETWORK access and HIGH attack complexity. Requires NONE privileges and user interaction=NONE. CVSS base score 7.2. Exploitation in the wild has not been confirmed.,CWE-200,Cisco;Oracle,Database Server;Office;iOS,7.171917500169208,6.427749361182271,5.639063298276286,NETWORK,HIGH,NONE,NONE,CHANGED,LOW,HIGH,NONE,2020-07-12T05:56Z,2020-01-03T14:16Z,0
CVE-2022-207479,Vulnerability in product allows CWE-22 with ADJACENT access and LOW attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 5.7. Exploitation in the wild has not been confirmed.,CWE-22,IBM;VMware,Safari;VPN Appliance,5.6776928565959555,5.8026627049543125,4.831180969621446,ADJACENT,LOW,NONE,REQUIRED,CHANGED,NONE,LOW,NONE,2022-03-26T07:28Z,2022-10-13T11:05Z,0
CVE-2020-201362,Vulnerability in product allows CWE-200 with NETWORK access and HIGH attack complexity. Requires HIGH privileges and user interaction=REQUIRED. CVSS base score 3.5. Exploitation in the wild has not been confirmed.,CWE-200,Microsoft;Oracle,Exchange Server;Linux Kernel;Office,3.4928910442657166,2.9040439710008856,3.660219989558753,NETWORK,HIGH,HIGH,REQUIRED,UNCHANGED,LOW,NONE,HIGH,2020-06-17T08:53Z,2020-09-20T17:47Z,0
CVE-2019-201240,Vulnerability in product allows NVD-CWE-noinfo with NETWORK access and LOW attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 5.1. Exploitation in the wild has not been confirmed.,NVD-CWE-noinfo,Google;SAP,VPN Appliance,5.132753393795556,3.5779084074110026,4.705080333872268,NETWORK,LOW,LOW,NONE,UNCHANGED,LOW,NONE,HIGH,2019-06-10T22:08Z,2019-07-10T13:42Z,0
CVE-2019-206568,Vulnerability in product allows CWE-89 with NETWORK access and LOW attack complexity. Requires NONE privileges and user interaction=NONE. CVSS base score 1.8. Exploitation in the wild has not been confirmed.,CWE-89,IBM,Chrome;Java SE;Linux Kernel,1.7653743439954028,0.0,3.7778986801150563,NETWORK,LOW,NONE,NONE,CHANGED,NONE,LOW,HIGH,2019-11-22T21:21Z,2019-04-02T13:21Z,0
CVE-2023-209298,Vulnerability in product allows CWE-476 with PHYSICAL access and LOW attack complexity. Requires HIGH privileges and user interaction=REQUIRED. CVSS base score 3.8. Exploitation in the wild has not been confirmed.,CWE-476,Google,Office;Web Browser,3.826665514175559,0.12463455667658963,2.7255266553352406,PHYSICAL,LOW,HIGH,REQUIRED,CHANGED,HIGH,HIGH,LOW,2023-02-22T08:52Z,2023-07-24T07:03Z,0
CVE-2021-202938,Vulnerability in product allows CWE-352 with NETWORK access and HIGH attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 6.9. Exploitation in the wild has not been confirmed.,CWE-352,Microsoft;Oracle,Java SE;VPN Appliance;iOS,6.8514774606330135,4.926823459802223,7.109799663819543,NETWORK,HIGH,LOW,REQUIRED,UNCHANGED,LOW,NONE,HIGH,2021-01-13T15:55Z,2021-08-01T09:38Z,0
CVE-2021-207426,Vulnerability in product allows CWE-287 with NETWORK access and HIGH attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 6.1. Exploitation in the wild has not been confirmed.,CWE-287,Apple;IBM,CMS;Exchange Server,6.083469725184592,5.3155570558998075,6.041707676083419,NETWORK,HIGH,NONE,REQUIRED,UNCHANGED,LOW,LOW,HIGH,2021-02-24T17:47Z,2021-03-02T17:01Z,0
CVE-2020-204266,Vulnerability in product allows CWE-119 with ADJACENT access and LOW attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 6.5. Exploitation in the wild has not been confirmed.,CWE-119,IBM;VMware,CMS;Office;Safari,6.525359718052192,4.793476557834422,4.289921835563865,ADJACENT,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2020-08-10T08:35Z,2020-07-20T19:35Z,0
CVE-2023-203574,Vulnerability in product allows CWE-89 with NETWORK access and LOW attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 4.5. Exploitation in the wild has not been confirmed.,CWE-89,Cisco,Chrome,4.499922869297073,3.2724586275637644,2.3549046387913495,NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,NONE,HIGH,2023-02-10T03:36Z,2023-12-20T19:42Z,0
CVE-2019-207488,Vulnerability in product allows CWE-352 with LOCAL access and HIGH attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 4.9. Exploitation in the wild has not been confirmed.,CWE-352,IBM;Oracle,Android;Safari;Web Browser,4.878630209677539,5.625002169871632,4.149913101588579,LOCAL,HIGH,NONE,REQUIRED,UNCHANGED,NONE,NONE,LOW,2019-08-29T10:07Z,2019-09-12T13:21Z,0
CVE-2023-203777,Vulnerability in product allows CWE-200 with LOCAL access and LOW attack complexity. Requires HIGH privileges and user interaction=REQUIRED. CVSS base score 5.0. Exploitation in the wild has not been confirmed.,CWE-200,Apple,Chrome;Linux Kernel,5.045154520249684,5.7272541571446585,6.0328554023914895,LOCAL,LOW,HIGH,REQUIRED,CHANGED,LOW,NONE,LOW,2023-10-28T18:37Z,2023-12-30T22:23Z,0
CVE-2021-205611,Vulnerability in product allows CWE-20 with NETWORK access and HIGH attack complexity. Requires HIGH privileges and user interaction=NONE. CVSS base score 5.1. Exploitation in the wild has not been confirmed.,CWE-20,Oracle,Chrome,5.071030213009895,4.392562155039118,5.042908512065543,NETWORK,HIGH,HIGH,NONE,CHANGED,NONE,LOW,HIGH,2021-04-03T00:16Z,2021-02-03T22:19Z,0
CVE-2019-204166,Vulnerability in product allows CWE-79 with NETWORK access and LOW attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 2.7. Exploitation in the wild has not been confirmed.,CWE-79,Apple;Oracle,Java SE;Safari;iOS,2.7225659169516723,2.6644639787890645,5.066466622910157,NETWORK,LOW,LOW,REQUIRED,UNCHANGED,NONE,NONE,HIGH,2019-05-13T13:59Z,2019-03-11T15:56Z,0
CVE-2018-100411,Vulnerability in product allows CWE-89 with NETWORK access and LOW attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 8.2. This issue has been observed exploited in the wild.,CWE-89,IBM,Chrome;Office,8.212345457426139,8.603857179866711,8.600851805274907,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,LOW,HIGH,2018-08-21T23:06Z,2018-03-18T10:38Z,1
CVE-2020-200013,Vulnerability in product allows CWE-22 with LOCAL access and HIGH attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 6.1. Exploitation in the wild has not been confirmed.,CWE-22,IBM;Linux,Java SE,6.109252838958483,6.22656070156855,5.445020699646018,LOCAL,HIGH,NONE,REQUIRED,CHANGED,LOW,NONE,NONE,2020-07-10T00:35Z,2020-01-15T06:17Z,0
CVE-2018-205526,Vulnerability in product allows CWE-119 with LOCAL access and HIGH attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 6.9. Exploitation in the wild has not been confirmed.,CWE-119,Adobe;Google,Exchange Server;iOS,6.901887859162635,4.927748402228168,8.345327075286855,LOCAL,HIGH,LOW,REQUIRED,UNCHANGED,NONE,NONE,LOW,2018-03-26T10:37Z,2018-02-04T10:21Z,0
CVE-2022-204610,Vulnerability in product allows NVD-CWE-noinfo with LOCAL access and HIGH attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 4.9. Exploitation in the wild has not been confirmed.,NVD-CWE-noinfo,SAP,Windows,4.8731706918242415,4.926377108636375,5.302871960961024,LOCAL,HIGH,LOW,NONE,CHANGED,LOW,NONE,NONE,2022-05-19T10:32Z,2022-10-03T03:59Z,0
CVE-2021-200830,Vulnerability in product allows CWE-787 with NETWORK access and LOW attack complexity. Requires HIGH privileges and user interaction=REQUIRED. CVSS base score 6.7. Exploitation in the wild has not been confirmed.,CWE-787,IBM;Oracle,Office,6.707350964311217,6.055621492774531,5.1401356891430545,NETWORK,LOW,HIGH,REQUIRED,CHANGED,LOW,NONE,HIGH,2021-09-10T21:08Z,2021-04-15T20:29Z,0
